train_register,test_register,features,auc,acc,prec,rec,f1
academic,social,opener_ratio,0.5377527993542356,0.5318671748127194,0.6126348192380688,0.17332953533448583,0.2702099858103901
academic,creative,opener_ratio,0.5880824248272867,0.580272777339827,0.7880196830562982,0.21962571406973855,0.34351248184305644
news,academic,opener_ratio,0.7508658628687157,0.7330975785183409,0.7465449473817675,0.7058259410213378,0.7256146404584386
news,news,opener_ratio,0.6227968430262197,0.6164708112206216,0.8338363565025805,0.2909137814842894,0.43133933380691797
news,social,opener_ratio,0.5371907995816503,0.530801443239562,0.6020945249335287,0.18164911729268166,0.2790962071992535
news,creative,opener_ratio,0.5945614801802683,0.5871840005183417,0.7712778468465441,0.24787533881191753,0.37517570527279265
social,academic,opener_ratio,0.7517753748999626,0.7332773915128267,0.7509025270758123,0.6981539199232798,0.7235681451111939
social,news,opener_ratio,0.6072205149514789,0.6031136803976076,0.8569996354356544,0.24753074719905652,0.3841157535253844
social,social,opener_ratio,0.5412026883411228,0.533214482162502,0.6267064686559335,0.16428309497616428,0.2603252509163733
social,creative,opener_ratio,0.5745067690954067,0.5723464682569679,0.815048201269692,0.18716456270315215,0.30442266483999014
creative,academic,opener_ratio,0.7408205990823488,0.7255454327499401,0.7434338206753784,0.6888036442100216,0.7150768464936843
creative,news,opener_ratio,0.6205808145432319,0.6156126274113386,0.8313665721011649,0.2900608626063516,0.4300713493934521
creative,social,opener_ratio,0.5345322545028197,0.5300009167583425,0.5994940062543433,0.18076837445649327,0.27777721875628897
creative,creative,opener_ratio,0.5974560295043714,0.5884906536505297,0.7727772044872008,0.2506938220144056,0.37857538893056325
academic,academic,connector_density,0.7343783275750448,0.6741788539918485,0.6659433531292828,0.6989930472308798,0.6820680781377939
academic,news,connector_density,0.6634814436174178,0.6228887625305366,0.7525480946095086,0.3661865049279757,0.49265117333314445
academic,social,connector_density,0.5240422346971366,0.5171826706480172,0.5333075233876189,0.27512245272146263,0.3629872177560445
academic,creative,connector_density,0.6171507618268467,0.5864712806280574,0.718802087602809,0.2840728702093885,0.40721362229102165
news,academic,connector_density,0.6672011383874029,0.6084871733397267,0.5719510256002545,0.8623831215535843,0.6877629063097515
news,news,connector_density,0.7454868690620879,0.7086202720916519,0.7384016509334633,0.6461597590767416,0.6892080472841118
news,social,connector_density,0.5225493821120432,0.5073766305201949,0.5090103420970541,0.4167190528576667,0.4582641726825931
news,creative,connector_density,0.672490469032718,0.6410051510210253,0.6582899952722115,0.5864064879107588,0.6202725393217358
social,academic,connector_density,0.6130658231957585,0.5195996163989451,0.5135448595808135,0.7431071685447135,0.6073580561406946
social,news,connector_density,0.5320732012571396,0.4314269016932019,0.44988977250429946,0.6156494819307556,0.5198764929877093
social,social,connector_density,0.5686600985131168,0.540438865315103,0.5253277992642204,0.8387487558279637,0.6460312456655781
social,creative,connector_density,0.5276856255588809,0.4563459067200847,0.4664531173497755,0.606988974439273,0.5275215151145439
creative,academic,connector_density,0.6584073302197746,0.606449292735555,0.5722068629045374,0.8435626947974106,0.6818798449612403
creative,news,connector_density,0.7165620533268346,0.6916250737090388,0.7229453670070382,0.6213829921657822,0.6683277225508155
creative,social,connector_density,0.5251626964583617,0.5098731599350411,0.5123139432794985,0.41076667190528576,0.45595474542484316
creative,creative,connector_density,0.6950256301639522,0.6609073140179044,0.7021585466780631,0.5588803818450806,0.6223798929709579
academic,academic,hedge_density,0.6440778095216362,0.5929033804842964,0.6262626262626263,0.46080076720210983,0.530939226519337
academic,news,hedge_density,0.5421131302862376,0.5946002864122651,0.6808737668612844,0.3561094263330806,0.467636444087999
academic,social,hedge_density,0.5098571156413619,0.5184857771491435,0.524655883174958,0.39336135994551835,0.44961977186311786
academic,creative,hedge_density,0.4945181797798015,0.47204734187877284,0.4616080565978969,0.33609062341392826,0.3889742916776024
news,academic,hedge_density,0.5237760688605739,0.5167226084871733,0.5125033611185803,0.6854471349796212,0.5864916149546131
news,news,hedge_density,0.7270791448805349,0.6930439727065959,0.7083248107997545,0.6563684609552691,0.6813575996064929
news,social,hedge_density,0.5990967870494335,0.540735174707947,0.5306517138499972,0.7052196291057677,0.6056067356179963
news,creative,hedge_density,0.4465413542891794,0.44738291416044834,0.46313878276657716,0.6611016921698001,0.5446909977400929
social,academic,hedge_density,0.5110773527250672,0.5121074082953728,0.5258179959100204,0.24658355310477104,0.3357271095152603
social,news,hedge_density,0.528248035443713,0.5813695139415382,0.7729793697894588,0.23040919046415634,0.35500016223758074
social,social,hedge_density,0.6534885585290293,0.6085196317250773,0.6510350924360557,0.4677726701241553,0.5443945487765612
social,creative,hedge_density,0.502646452799496,0.4785212142155222,0.4520561153160102,0.20252043670291459,0.2797246604866917
creative,academic,hedge_density,0.4859336675855672,0.4905897866219132,0.4918728646857853,0.5695276912011508,0.5278595633575912
creative,news,hedge_density,0.3703827749168458,0.40403083143795804,0.43116678121247365,0.6011445960744672,0.5021616272677295
creative,social,hedge_density,0.48158816531501125,0.484279231494578,0.4858594336705394,0.5401540154015402,0.511570144144228
creative,creative,hedge_density,0.6382470122447479,0.6008552638683412,0.5978665213609833,0.6161247475783722,0.6068583341310614
academic,academic,mean_sent_len,0.7953124219524235,0.7231479261567969,0.6702954898911353,0.8783265403979861,0.7603382970995693
academic,news,mean_sent_len,0.6060196394286556,0.5852155462892764,0.5902558983767265,0.557292982899503,0.573301016884893
academic,social,mean_sent_len,0.4877980594734088,0.4923876316203049,0.489728115363205,0.3629315312483629,0.4169020441168174
academic,creative,mean_sent_len,0.6282423192501297,0.5942518060969947,0.6185901790809533,0.49163634007537554,0.5478547060487
news,academic,mean_sent_len,0.5526565606006149,0.5695876288659794,0.5408658922914467,0.9210021577559339,0.6815097352197632
news,news,mean_sent_len,0.7729173829330562,0.7000147418077668,0.6628696613991615,0.8140478898155168,0.7307214253644935
news,social,mean_sent_len,0.4943321614373254,0.4838994316098276,0.479821419045626,0.38285138037613287,0.4258863678993595
news,creative,mean_sent_len,0.6771693319258683,0.6373983564247379,0.6330896120333469,0.6535857369631654,0.6431744277486132
social,academic,mean_sent_len,0.4441345397813366,0.4374850155837929,0.4033005748192101,0.2607288420043155,0.31670913724062616
social,news,mean_sent_len,0.48601401805278743,0.45952320781737005,0.44607334249880753,0.3348180439727066,0.3825203007518797
social,social,mean_sent_len,0.6551020283286304,0.6053224370056053,0.5946017480502065,0.661984650846037,0.6264865367334924
social,creative,mean_sent_len,0.4806103058964392,0.4702817403323866,0.4672996031274507,0.42468386553351406,0.44497372157885506
creative,academic,mean_sent_len,0.6351421254094256,0.6109446175976984,0.5663393305139417,0.947134979621194,0.7088323689050374
creative,news,mean_sent_len,0.6620858527017743,0.626329395164687,0.5942109788801244,0.796789444865639,0.6807489457407928
creative,social,mean_sent_len,0.4994607895225476,0.4902299753784902,0.4901586359288942,0.4866055057886741,0.48837560832947224
creative,creative,mean_sent_len,0.7716898825921686,0.697525998077816,0.6715723518211066,0.7731606967376867,0.7187948638147922
academic,academic,boost_density,0.6600967072882419,0.6372572524574442,0.7082575481993452,0.46679453368496765,0.5627167630057803
