register,feature,importance_mean,importance_std
creative,rep_rate,0.0090442328991289,0.0008839151211778529
creative,smog_index,0.008751090620852286,0.0009994620142817561
creative,flesch_reading_ease,0.00664700674875549,0.0009008776360928391
creative,capitalized_entity_density,0.006643589576538966,0.0007135146610891803
creative,quote_density,0.006223979990061479,0.0008450732624374717
creative,punct_entropy,0.006191660566854651,0.0007397839211367063
creative,opener_ratio,0.004268878439367874,0.001442309105524996
creative,gunning_fog,0.004190858329788427,0.0007107912054796556
creative,mean_sent_len,0.003823719901738776,0.0005733607450018846
creative,self_mention_density,0.0032195510793793457,0.0003605654087193218
creative,flesch_kincaid_grade,0.0025625917367027686,0.0009415522764778433
creative,preposition_density,0.002396076447571649,0.00032160943573245233
creative,adverb_density,0.002318695061771003,0.0003168358932821868
creative,exclamation_density,0.0020945349516038993,0.0003541679869234629
creative,passive_density,0.0019687702395597695,0.00038548745628461676
creative,connector_density,0.0018793489105288774,0.00048560775374968044
creative,question_density,0.0017625902037656572,0.0002984197265566519
creative,subordination_density,0.001369966696942182,0.00017534761065461394
creative,nominalization_density,0.001188696888521057,0.00041481433043055624
creative,positive_density,0.0008774787273045925,0.0002713653961838726
creative,number_density,0.0005454381708995592,0.00023807057765057492
creative,hedge_density,0.0004007033626252099,0.00016748333172469124
creative,boost_density,0.00026401647396376846,0.00012784474077339337
creative,acronym_density,0.00022805632521767373,3.749931475873037e-05
creative,adjective_density,0.00022380881208878823,0.00022408298640494317
creative,negative_density,0.00016306618072563505,6.721398699414975e-05
creative,sentiment_polarity,9.695826962066167e-05,0.00010593010017107906
creative,url_email_density,8.083049420619659e-05,0.00011346256018949034
