train_register,test_register,features,auc,acc,prec,rec,f1
social,creative,connector_density,0.48118382160000006,0.5234,0.5382078244399452,0.32962,0.40884622063456627
creative,academic,connector_density,0.6493773103200288,0.45081672180038734,0.18578626359055952,0.839745894762076,0.3042581373634725
creative,news,connector_density,0.691441533,0.67384,0.7193841494194851,0.57004,0.6360633787101093
creative,social,connector_density,0.5124676842000001,0.51122,0.5154366848274723,0.37464,0.43390238817724863
creative,creative,connector_density,0.7151471332000001,0.66662,0.7501351107908485,0.49968,0.5998127385782537
academic,academic,hedge_density,0.7211591310080308,0.8602060230019025,0.7019438444924406,0.03895481241759559,0.07381330910742676
academic,news,hedge_density,0.5516371002,0.51122,0.7422279792746114,0.03438,0.06571603333588195
academic,social,hedge_density,0.48637959120000007,0.50826,0.7429411764705882,0.02526,0.048858800773694394
academic,creative,hedge_density,0.5828621968,0.49796,0.4615094339622641,0.02446,0.04645773979107312
news,academic,hedge_density,0.6218640908546086,0.5390878083060522,0.1835244335244335,0.6446122497902433,0.28570669641671315
news,news,hedge_density,0.7459572981999998,0.70248,0.7409672966154139,0.62262,0.6766578998848002
news,social,hedge_density,0.5824938412,0.54839,0.54127078891258,0.63464,0.5842485615650173
news,creative,hedge_density,0.3759732002,0.40341,0.4285904392955893,0.57972,0.49282927119551817
social,academic,hedge_density,0.5724527160493827,0.7036833896097218,0.15582916506348596,0.24271844660194175,0.1898022307620208
social,news,hedge_density,0.5968943612,0.60113,0.7213394615889691,0.32958,0.4524401125677809
social,social,hedge_density,0.6459500948000001,0.60688,0.6847217421361909,0.39618,0.5019384264538198
social,creative,hedge_density,0.40373554980000004,0.40318,0.3691267910246012,0.27308,0.313921140360961
creative,academic,hedge_density,0.5664244827999521,0.40135063332362064,0.16562688669752465,0.7891645690998442,0.2737914544131407
creative,news,hedge_density,0.412037039,0.46077,0.4753787641055895,0.75744,0.5841424572173336
creative,social,hedge_density,0.4661429161999999,0.4681,0.4785439479135839,0.71148,0.5722144477150992
creative,creative,hedge_density,0.7309948482,0.67887,0.643867127805035,0.80052,0.7136985690723487
academic,academic,mean_sent_len,0.8808255927124535,0.865228047923487,0.636830102622577,0.13388469375524392,0.2212538377735961
academic,news,mean_sent_len,0.6011572159999999,0.51767,0.6073641997812614,0.09996,0.17166703876075495
academic,social,mean_sent_len,0.4806330596,0.50443,0.5664965475833084,0.03774,0.07076559599482478
academic,creative,mean_sent_len,0.631054927,0.51473,0.6092567868268803,0.08214,0.14476304612185192
news,academic,mean_sent_len,0.597302548244037,0.5011569511338121,0.19985542865404077,0.8284789644012945,0.3220275810659709
news,news,mean_sent_len,0.8475579258000001,0.7573,0.7211469041152405,0.83904,0.7756392478784181
news,social,mean_sent_len,0.5804335914,0.54646,0.5626517072118237,0.41724,0.4791566182043685
news,creative,mean_sent_len,0.6679313836,0.6319,0.6172111043969716,0.69456,0.6536051041725481
social,academic,mean_sent_len,0.3001434400095889,0.3892840614983803,0.06852823983302764,0.2597387031043989,0.10844488927811835
social,news,mean_sent_len,0.5950083784,0.55852,0.5672025723472669,0.49392,0.5280307889672867
social,social,mean_sent_len,0.7460005078,0.6691,0.7319615912208505,0.5336,0.6172353961827646
social,creative,mean_sent_len,0.4728341988,0.46126,0.4628300583358919,0.48238,0.4724028517706048
creative,academic,mean_sent_len,0.450405566343042,0.31117700495346484,0.16592182287404797,0.9478604818410644,0.28240839940004286
creative,news,mean_sent_len,0.6794304445999999,0.63064,0.5979927390560773,0.79722,0.6833821941058479
creative,social,mean_sent_len,0.5479629446000001,0.52042,0.5195548915958017,0.54254,0.5307987320471178
creative,creative,mean_sent_len,0.8453180502000001,0.76149,0.7353518261840044,0.81702,0.7740376872282171
academic,academic,boost_density,0.7241893431619322,0.8610973038753578,0.6368843069873997,0.06664269447440968,0.12065972222222222
academic,news,boost_density,0.5702203725999999,0.50889,0.735559088500265,0.02776,0.053500876905583285
academic,social,boost_density,0.46668832979999986,0.4946,0.43500240731824746,0.03614,0.06673560586475606
academic,creative,boost_density,0.5071823161999999,0.49139,0.38137227886470104,0.02768,0.05161386563240038
news,academic,boost_density,0.6784363442406807,0.7738717583943232,0.3058757604867115,0.4579887330696392,0.36678665706743463
news,news,boost_density,0.6165834615999999,0.58155,0.7626409017713366,0.2368,0.3613887829072873
news,social,boost_density,0.5051756648000001,0.48161,0.4704824885236429,0.29312,0.3612031891165851
news,creative,boost_density,0.3944454152000001,0.39267,0.3415606270851171,0.23138,0.27587604773998164
social,academic,boost_density,0.5133162147908426,0.3341274874449377,0.13397485121904396,0.6691837468536498,0.22325302409277217
social,news,boost_density,0.5497001525999999,0.51262,0.5069770013268465,0.91702,0.6529621190544005
social,social,boost_density,0.6231783578000001,0.59147,0.5613193001273714,0.83732,0.6720873299353854
social,creative,boost_density,0.4554484814,0.53025,0.517517343617896,0.89368,0.6554645269650807
creative,academic,boost_density,0.4853064245475249,0.3145535882625165,0.13840775101686395,0.7259978425026968,0.23249208329334997
