register,feature,feature_label,human_mean,human_sd,ai_mean,ai_sd,cohens_d,mwu_pval,n_human,n_ai
creative,mtld,Lexical Diversity (MTLD),87.63451198421684,35.7664291561358,198.26552486350926,1030.4019398565242,0.11916098860514941,0.0,102749,442672
creative,sent_cv,Sentence Length CV,0.6155542397404566,0.2531851585795378,0.34749366415754257,0.2393580814146545,-1.1075818087239822,0.0,102749,442672
creative,self_mention_density,Self-Mention Density,50.00352849573765,40.70846528914986,12.057104293547257,24.79768927543275,-1.3322583131492125,0.0,102749,442672
creative,opener_ratio,Sentence-Opener Connector Ratio,0.008111030730730193,0.027430356320939573,0.02955387633271019,0.06012001067104234,0.3866706920084448,0.0,102749,442672
creative,connector_density,Connector Density,1.822087129985521,3.094327902212334,4.506551298198277,6.489577094445151,0.44750607268330306,0.0,102749,442672
creative,hedge_density,Hedge Density,7.991529381749775,6.715042879689073,6.077087129099029,7.207698922923052,-0.26897685944877364,0.0,102749,442672
creative,mean_sent_len,Mean Sentence Length,84.1373631602622,560.3152204774317,188.2429709658741,472.7655976280654,0.21226344759059135,0.0,102749,442672
creative,boost_density,Booster Density,2.7150479768089375,4.042617662941728,1.3524188326173632,3.1331618563941714,-0.40998983758529634,0.0,102749,442672
creative,char_entropy,Char N-gram Entropy,9.001573953669105,0.5555737402585262,8.589440329415554,0.8938605697041414,-0.49028185365514143,0.0,102749,442672
creative,rep_rate,Word Repetition Rate,0.31821752918617424,0.12324921817011693,0.2811896761364962,0.22282917434168542,-0.17823147913384185,0.0,102749,442672
creative,punct_entropy,Punctuation Entropy,1.8950221166952779,0.4546869365396879,1.7126916644879104,0.5167317642377866,-0.36060346521956177,0.0,102749,442672
all,mtld,Lexical Diversity (MTLD),87.96686109212462,35.50021949403826,163.63177186408754,759.6435974087983,0.14421356747481842,0.0,1450004,1316640
all,sent_cv,Sentence Length CV,0.47585835497047785,0.3142623577357006,0.38230758108592167,0.2621219004466253,-0.321903121068132,0.0,1450004,1316640
all,self_mention_density,Self-Mention Density,24.741796495740946,29.840854431911303,34.90719482121636,42.65378041362265,0.27847552574353973,0.0,1450004,1316640
