register,feature,feature_label,human_mean,human_sd,ai_mean,ai_sd,cohens_d,mwu_pval,n_human,n_ai
all,mtld,Lexical Diversity (MTLD),98.56109345301228,37.53341140985464,163.12939657954618,694.679385007516,0.13125534024858798,0.0,596305,596305
all,sent_cv,Sentence Length CV,0.6038506768561946,0.2333588819162255,0.423169689811803,0.24879878186011112,-0.7490845128984773,0.0,596305,596305
all,self_mention_density,Self-Mention Density,38.40788038912024,33.995709873639896,42.16890969204965,45.012881718767204,0.09429325946770567,0.00020685699273226946,596305,596305
all,opener_ratio,Sentence-Opener Connector Ratio,0.011484427952770056,0.039222384954440574,0.032149553403327515,0.0694677496908046,0.3663383389205319,0.0,596305,596305
all,connector_density,Connector Density,2.701068027123619,4.459604283477773,4.919656469348732,6.916206499582723,0.38126497606559606,0.0,596305,596305
all,hedge_density,Hedge Density,5.872185228774231,6.990808481601414,9.426065907165205,10.459878192199394,0.399488420133373,0.0,596305,596305
all,mean_sent_len,Mean Sentence Length,37.78475407493044,249.0841056433145,76.48228002187169,231.71076890311406,0.16086813245960063,0.0,596305,596305
all,boost_density,Booster Density,2.7985942302724762,5.261019774835307,2.2255100462231785,5.697933178170313,-0.10450437708468249,0.0,596305,596305
all,char_entropy,Char N-gram Entropy,8.8956259974132,0.5469583188385312,8.543180395709907,0.8457564534517081,-0.4948664932940069,0.0,596305,596305
all,rep_rate,Word Repetition Rate,0.33523558198412623,0.1457542364354434,0.317818462015291,0.2278212964174774,-0.09107382041582877,0.0,596305,596305
all,punct_entropy,Punctuation Entropy,1.8452804971746226,0.49129222753594143,1.8495078558705957,0.5218481174393393,0.008341267671178342,1.043504600849032e-21,596305,596305
